title,scorr,genre,running time,actors
Ricki and the Flash (2015),54,Comedy/Drama/Music,101 min,Meryl Streep/Kevin Kline/Mamie Gummer/Sebastian Stan
The Gift (2015),77,Mystery/Thriller,108 min,Jason Bateman/Rebecca Hall/Joel Edgerton/Allison Tolman
Cop Car (2015),66,Thriller,88 min,Kevin Bacon/James Freedson-Jackson/Hays Wellford/Shea Whigham
The Diary of a Teenage Girl (2015),87,Drama/Romance,102 min,Bel Powley/Alexander Skarsgård/Kristen Wiig/Christopher Meloni
The Prophet (2014),61,Animation/Drama,84 min,Liam Neeson/Salma Hayek/Quvenzhané Wallis/John Krasinski
Dragon Ball Z: Doragon bôru Z - Fukkatsu no 'F' (2015),,Animation/Action/Adventure/Comedy/Fantasy/Sci-Fi,93 min,Masako Nozawa/Ryô Horikawa/Hiromi Tsuru/Masaharu Satô
Dark Places (2015),39,Drama/Mystery/Thriller,113 min,Charlize Theron/Nicholas Hoult/Christina Hendricks/Chloë Grace Moretz
Straight Outta Compton (2015),72,Biography/Drama/History/Music,147 min,O'Shea Jackson Jr./Corey Hawkins/Jason Mitchell/Neil Brown Jr.
The Man from U.N.C.L.E. (2015),56,Action/Adventure/Comedy,116 min,Henry Cavill/Armie Hammer/Alicia Vikander/Elizabeth Debicki
Mistress America (2015),75,Comedy,84 min,Greta Gerwig/Lola Kirke/Nat Baldwin/Juliet Brett
People Places Things (2015),68,Comedy,85 min,Jemaine Clement/Regina Hall/Jessica Williams/Stephanie Allynne
Fort Tilden (2014),70,Comedy,98 min,Bridey Elliott/Clare McNulty/Neil Casey/Alysia Reiner
"10,000 Saints (2015)",62,Comedy/Drama/Music,113 min,Ethan Hawke/Asa Butterfield/Hailee Steinfeld/Emily Mortimer
Final Girl (2015),,Action/Drama/Horror/Thriller,90 min,Abigail Breslin/Wes Bentley/Logan Huffman/Alexander Ludwig
Sinister 2 (2015),32,Horror/Mystery/Thriller,97 min,James Ransone/Shannyn Sossamon/Robert Daniel Sloan/Dartanian Sloan
American Ultra (2015),50,Action/Comedy,96 min,Jesse Eisenberg/Kristen Stewart/Connie Britton/John Leguizamo
Hitman: Agent 47 (2015),28,Action/Crime/Thriller,96 min,Rupert Friend/Hannah Ware/Zachary Quinto/Ciarán Hinds
Grandma (2015),77,Comedy/Drama,79 min,Lily Tomlin/Julia Garner/Marcia Gay Harden/Judy Greer
6 Years (2015),53,Drama/Romance,85 min,Taissa Farmiga/Ben Rosenfield/Lindsay Burdge/Joshua Leonard
Digging for Fire (2015),69,Drama,85 min,Jake Johnson/Rosemarie DeWitt/Orlando Bloom/Brie Larson
She's Funny That Way (2014),45,Comedy,93 min,Imogen Poots/Owen Wilson/Jennifer Aniston/Kathryn Hahn
Learning to Drive (2014),59,Comedy/Drama/Romance,90 min,Patricia Clarkson/Ben Kingsley/Grace Gummer/Samantha Bee
How to Make Love Like an Englishman (2014),11,Comedy/Romance,99 min,Pierce Brosnan/Salma Hayek/Jessica Alba/Malcolm McDowell
We Are Your Friends (2015),46,Drama/Music/Romance,96 min,Zac Efron/Wes Bentley/Emily Ratajkowski/Jonny Weston
No Escape (2015),38,Action/Thriller,103 min,Lake Bell/Pierce Brosnan/Owen Wilson/Chatchawai Kamonsakpitak
Z for Zachariah (2015),68,Drama/Sci-Fi/Thriller,98 min,Chiwetel Ejiofor/Chris Pine/Margot Robbie
War Room (2015),26,Drama,120 min,Priscilla C. Shirer/T.C. Stallings/Karen Abercrombie/Beth Moore
Que Horas Ela Volta? (2015),82,Drama,112 min,Regina Casé/Helena Albergaria/Michel Joelsas/Camila Márdila
Queen of Earth (2015),78,Drama/Thriller,90 min,Elisabeth Moss/Katherine Waterston/Patrick Fugit/Kentucker Audley
Når dyrene drømmer (2014),54,Drama/Horror/Mystery,84 min,Sonia Suhl/Lars Mikkelsen/Sonja Richter/Jakob Oftebro
The Transporter Refueled (2015),32,Action/Crime/Thriller,96 min,Ed Skrein/Loan Chabanol/Ray Stevenson/Lenn Kudrjawizki
A Walk in the Woods (2015),51,Adventure/Biography/Comedy/Drama,104 min,Robert Redford/Nick Nolte/Emma Thompson/Mary Steenburgen
Before We Go (2014),31,Comedy/Drama/Romance,95 min,Chris Evans/Alice Eve/Emma Fitzpatrick/Scott Evans
Un gallo con muchos huevos (2015),,Animation,98 min,Bruno Bichir/Carlos Espejel/Angélica Vale/Omar Chaparro
The Visit (2015),55,Horror/Thriller,94 min,Olivia DeJonge/Ed Oxenbould/Deanna Dunagan/Peter McRobbie
The Perfect Guy (2015),36,Drama/Thriller,100 min,Sanaa Lathan/Michael Ealy/Morris Chestnut/L. Scott Caldwell
90 Minutes in Heaven (2015),28,Drama,121 min,Kate Bosworth/Hayden Christensen/Hudson Meek/Bobby Batson
Gui lai (2014),81,Drama,109 min,Li Gong/Daoming Chen/Huiwen Zhang/Tao Guo
Le dernier loup (2015),58,Adventure,121 min,Shaofeng Feng/Shawn Dou/Ankhnyam Ragchaa/Yin Zhusheng
Sleeping with Other People (2015),64,Comedy/Drama/Romance,101 min,Jason Sudeikis/Alison Brie/Jordan Carlos/Margarita Levieva
Time Out of Mind (2014),75,Drama,120 min,Richard Gere/Ben Vereen/Jena Malone/Steve Buscemi
Ich seh ich seh (2014),81,Drama/Mystery/Thriller,99 min,Lukas Schwarz/Elias Schwarz/Susanne Wuest/Hans Escher
Everest (2015),64,Adventure/Biography/Drama/History/Thriller,121 min,Jason Clarke/Ang Phula Sherpa/Thomas M. Wright/Martin Henderson
Maze Runner: The Scorch Trials (2015),43,Action/Sci-Fi/Thriller,132 min,Dylan O'Brien/Kaya Scodelario/Thomas Brodie-Sangster/Giancarlo Esposito
Black Mass (2015),68,Biography/Crime/Drama,123 min,Johnny Depp/Benedict Cumberbatch/Dakota Johnson/Joel Edgerton
Katti Batti (2015),,Comedy/Romance,135 min,Imran Khan/Kangana Ranaut/Vivan Bhatena/Suparna Marwah
Sicario (2015),81,Action/Crime/Drama/Mystery/Thriller,121 min,Emily Blunt/Josh Brolin/Benicio Del Toro/Jon Bernthal
Captive (2015),37,Crime/Drama/Thriller,97 min,Kate Mara/David Oyelowo/Mimi Rogers/Michael Kenneth Williams
Pawn Sacrifice (2014),65,Biography/Drama,115 min,Tobey Maguire/Liev Schreiber/Peter Sarsgaard/Michael Stuhlbarg
Racing Extinction (2015),81,Documentary/Action/Adventure/Thriller,90 min,Elon Musk/Joel Sartore/Louie Psihoyos/Charles Hambleton
Hotel Transylvania 2 (2015),44,Animation/Comedy/Family/Fantasy,89 min,Adam Sandler/Andy Samberg/Selena Gomez/Kevin James
The Intern (2015),51,Comedy,121 min,Robert De Niro/Anne Hathaway/Rene Russo/Anders Holm
The Green Inferno (2013),38,Adventure/Horror,100 min,Lorenza Izzo/Ariel Levy/Aaron Burns/Kirby Bliss Blanton
Stonewall (2015),30,Drama,129 min,Jeremy Irvine/Jonny Beauchamp/Joey King/Caleb Landry Jones
Im Labyrinth des Schweigens (2014),62,Drama/History,124 min,André Szymanski/Alexander Fehling/Friederike Becht/Johannes Krisch
99 Homes (2014),76,Drama,112 min,Andrew Garfield/Michael Shannon/Laura Dern/Clancy Brown
A Brave Heart: The Lizzie Velasquez Story (2015),70,Documentary/Biography/Family,78 min,Lizzie Velasquez
Finders Keepers (2015),80,Documentary,82 min,John Wood/Shannon Whisnant
The Keeping Room (2014),58,Drama,95 min,Brit Marling/Hailee Steinfeld/Sam Worthington/Muna Otaru
Mississippi Grind (2015),77,Drama,108 min,Ben Mendelsohn/Ryan Reynolds/Yvonne Landry/Anthony Howard
The Reflektor Tapes (2015),34,Documentary/Music,75 min,Win Butler/Régine Chassagne/Arcade Fire
Ashby (2015),46,Comedy/Drama/Romance,100 min,Mickey Rourke/Nat Wolff/Emma Roberts/Sarah Silverman
The Martian (2015),80,Adventure/Drama/Sci-Fi,144 min,Matt Damon/Jessica Chastain/Kristen Wiig/Kate Mara
The Walk (2015),70,Adventure/Biography/Drama/Thriller,123 min,Joseph Gordon-Levitt/Charlotte Le Bon/Guillaume Baillargeon/Émilie Leclerc
Freeheld (2015),50,Biography/Drama/Romance,103 min,Julianne Moore/Ellen Page/Steve Carell/Michael Shannon
He Named Me Malala (2015),61,Documentary,88 min,Malala Yousafzai/Ziauddin Yousafzai/Toor Pekai Yousafzai/Khushal Yousafzai
Shanghai (2010),36,Drama/Mystery/Romance/Thriller,105 min,John Cusack/Li Gong/Yun-Fat Chow/David Morse
Partisan (2015),50,Drama/Thriller,94 min,Vincent Cassel/Jeremy Chabriel/Florence Mezzara/Esther Blaser-Tokarev
Addicted to Fresno (2015),34,Comedy,85 min,Judy Greer/Natasha Lyonne/Malcolm Barrett/Jessica St. Clair
Sicario (2015),81,Action/Crime/Drama/Mystery/Thriller,121 min,Emily Blunt/Josh Brolin/Benicio Del Toro/Jon Bernthal
Pan (2015),36,Adventure/Family/Fantasy,111 min,Levi Miller/Hugh Jackman/Garrett Hedlund/Rooney Mara
The Walk (2015),70,Adventure/Biography/Drama/Thriller,123 min,Joseph Gordon-Levitt/Charlotte Le Bon/Guillaume Baillargeon/Émilie Leclerc
Big Stone Gap (2014),39,Comedy/Romance,103 min,Ashley Judd/Patrick Wilson/Whoopi Goldberg/John Benjamin Hickey
Steve Jobs (2015),82,Biography/Drama,122 min,Michael Fassbender/Kate Winslet/Seth Rogen/Jeff Daniels
Trash (2014),50,Adventure/Crime/Drama/Mystery/Thriller,114 min,Rickson Tevez/Eduardo Luis/Gabriel Weinstein/Martin Sheen
Ladrones (2015),,Comedy,97 min,Fernando Colunga/Eduardo Yáñez/Miguel Varoni/Jessica Lindsey
Victoria (2015),77,Crime/Drama/Thriller,138 min,Laia Costa/Frederick Lau/Franz Rogowski/Burak Yigit
The Final Girls (2015),59,Comedy/Horror,88 min,Taissa Farmiga/Malin Akerman/Adam DeVine/Thomas Middleditch
Goosebumps (2015),60,Adventure/Comedy/Fantasy/Horror,103 min,Jack Black/Dylan Minnette/Odeya Rush/Ryan Lee
Crimson Peak (2015),66,Drama/Fantasy/Horror/Mystery/Romance/Thriller,119 min,Mia Wasikowska/Jessica Chastain/Tom Hiddleston/Charlie Hunnam
Bridge of Spies (2015),81,Biography/Drama/Thriller,142 min,Tom Hanks/Mark Rylance/Alan Alda/Amy Ryan
Truth (2015),66,Biography/Drama,125 min,Cate Blanchett/Robert Redford/Dennis Quaid/Elisabeth Moss
Room (2015),86,Drama,118 min,Brie Larson/Jacob Tremblay/Sean Bridgers/Wendy Crewson
All Things Must Pass: The Rise and Fall of Tower Records (2015),73,Documentary/History/Music,94 min,Russ Solomon/Chuck D./Chris Cornell/Heidi Cotler
This Changes Everything (2015),59,Documentary,89 min,Stacey Arwen Raab
Woodlawn (2015),57,Drama/Sport,123 min,Caleb Castille/Sean Astin/Jon Voight/C. Thomas Howell
Momentum (2015),18,Action/Thriller,96 min,Olga Kurylenko/James Purefoy/Morgan Freeman/Jenna Saras
Steve Jobs (2015),82,Biography/Drama,122 min,Michael Fassbender/Kate Winslet/Seth Rogen/Jeff Daniels
Paranormal Activity: The Ghost Dimension (2015),30,Horror,88 min,Chris J. Murray/Brit Shaw/Ivy George/Dan Gill
Jem and the Holograms (2015),42,Adventure/Drama/Fantasy/Music,118 min,Aubrey Peeples/Stefanie Scott/Aurora Perrineau/Hayley Kiyoko
The Last Witch Hunter (2015),34,Action/Adventure/Fantasy,106 min,Vin Diesel/Rose Leslie/Elijah Wood/Ólafur Darri Ólafsson
Rock the Kasbah (2015),29,Comedy/Music/War,106 min,Bill Murray/Leem Lubany/Zooey Deschanel/Bruce Willis
Suffragette (2015),67,Biography/Drama/History,106 min,Carey Mulligan/Anne-Marie Duff/Helena Bonham Carter/Meryl Streep
I Smile Back (2015),59,Drama,85 min,Sarah Silverman/Josh Charles/Skylar Gaertner/Shayne Coleman
Burnt (2015),42,Comedy/Drama,101 min,Bradley Cooper/Sienna Miller/Daniel Brühl/Riccardo Scamarcio
Nasty Baby (2015),64,Drama,101 min,Sebastián Silva/Tunde Adebimpe/Kristen Wiig/Reg E. Cathey
Difret (2014),61,Biography/Crime/Drama/History,99 min,Meron Getnet/Tizita Hagere/Abel Abebe/Shitaye Abraha
Burnt (2015),42,Comedy/Drama,101 min,Bradley Cooper/Sienna Miller/Daniel Brühl/Riccardo Scamarcio
Our Brand Is Crisis (2015),53,Comedy/Drama,107 min,Sandra Bullock/Billy Bob Thornton/Anthony Mackie/Joaquim de Almeida
Scouts Guide to the Zombie Apocalypse (2015),32,Action/Comedy/Horror,93 min,Tye Sheridan/Logan Miller/Joey Morgan/Sarah Dumont
Freaks of Nature (2015),,Comedy/Horror,92 min,Nicholas Braun/Mackenzie Davis/Josh Fadem/Denis Leary
Love (2015),51,Drama/Romance,135 min,Aomi Muyock/Karl Glusman/Klara Kristin/Juan Saavedra
Le meraviglie (2014),76,Drama,110 min,Alba Rohrwacher/Maria Alexandra Lungu/Sam Louwyck/Sabine Timoteo
Carter High (2015),,Crime/Drama/Sport,110 min,Vivica A. Fox/Pooch Hall/Charles S. Dutton/LeeAnne Locken
Tab Hunter Confidential (2015),60,Documentary/Biography,90 min,Tab Hunter/James Dean/Clint Eastwood/Robert Wagner
Spectre (2015),60,Action/Adventure/Thriller,148 min,Daniel Craig/Christoph Waltz/Léa Seydoux/Ralph Fiennes
Seunupi: Deo Pineocheu mubi (2015),67,Animation/Adventure/Comedy/Family,88 min,Noah Schnapp/Bill Melendez/Hadley Belle Miller/Francesca Capaldi
Spotlight (2015),93,Biography/Drama/History/Thriller,128 min,Mark Ruffalo/Michael Keaton/Rachel McAdams/Liev Schreiber
Trumbo (2015),60,Biography/Drama,124 min,Bryan Cranston/Diane Lane/Helen Mirren/Louis C.K.
Brooklyn (2015),87,Drama/Romance,111 min,Saoirse Ronan/Emory Cohen/Domhnall Gleeson/Jim Broadbent
Miss You Already (2015),59,Comedy/Drama/Romance,112 min,Drew Barrymore/Toni Collette/Dominic Cooper/Paddy Considine
Theeb (2014),80,Adventure/Drama/Thriller,100 min,Jacir Eid Al-Hwietat/Hussein Salameh Al-Sweilhiyeen/Hassan Mutlag Al-Maraiyeh/Jack Fox
My Nazi Legacy (2015),69,Documentary,96 min,Niklas Frank/Horst von Wächter/Philippe Sands
The 33 (2015),55,Biography/Drama/History,127 min,Antonio Banderas/Rodrigo Santoro/Juliette Binoche/James Brolin
Love the Coopers (2015),31,Comedy,107 min,Steve Martin/Diane Keaton/John Goodman/Ed Helms
My All American (2015),34,Biography/Drama/Sport,118 min,Aaron Eckhart/Finn Wittrock/Robin Tunney/Sarah Bolger
By the Sea (2015),44,Drama/Romance,122 min,Brad Pitt/Angelina Jolie/Mélanie Laurent/Melvil Poupaud
Prem Ratan Dhan Payo (2015),,Action/Drama/Romance,164 min,Salman Khan/Sonam Kapoor/Anupam Kher/Sanjay Mishra
James White (2015),83,Drama,85 min,Christopher Abbott/Cynthia Nixon/Scott Mescudi/Ron Livingston
Entertainment (2015),65,Drama,103 min,Gregg Turkington/John C. Reilly/Tye Sheridan/Amy Seimetz
Jag är Ingrid (2015),75,Documentary/Biography,114 min,Ingrid Bergman/Roberto Rossellini/Pia Lindström/Isotta Rossellini
Kajaki (2014),,Adventure/Drama/Thriller/War,108 min,David Elliot/Mark Stanley/Scott Kyle/Benjamin O'Mahony
The Hunger Games: Mockingjay - Part 2 (2015),65,Adventure/Sci-Fi,137 min,Jennifer Lawrence/Josh Hutcherson/Liam Hemsworth/Woody Harrelson
The Night Before (2015),58,Comedy,101 min,Joseph Gordon-Levitt/Seth Rogen/Jillian Bell/Lizzy Caplan
Secret in Their Eyes (2015),45,Mystery/Thriller,111 min,Chiwetel Ejiofor/Nicole Kidman/Julia Roberts/Dean Norris
Legend (2015),55,Biography/Crime/Drama/Romance/Thriller,132 min,Tom Hardy/Emily Browning/Taron Egerton/Paul Anderson
Carol (2015),95,Drama/Romance,118 min,Cate Blanchett/Rooney Mara/Sarah Paulson/Kyle Chandler
#Horror (2015),42,Drama/Horror/Mystery/Thriller,101 min,Sadie Seelert/Haley Murphy/Bridget McGarry/Blue Lindeberg
Mediterranea (2015),77,Drama,107 min,Alassane Sy/Koudous Seihon/Paolo Sciarretta/Pio Amato
The Good Dinosaur (2015),66,Animation/Adventure/Comedy/Family/Fantasy,93 min,Jeffrey Wright/Frances McDormand/Maleah Nipay-Padilla/Ryan Teeple
Creed (2015),82,Drama/Sport,133 min,Michael B. Jordan/Sylvester Stallone/Tessa Thompson/Phylicia Rashad
Victor Frankenstein (2015),36,Drama/Horror/Sci-Fi,110 min,Daniel Radcliffe/James McAvoy/Jessica Brown Findlay/Andrew Scott
The Danish Girl (2015),66,Biography/Drama/Romance,119 min,Eddie Redmayne/Alicia Vikander/Amber Heard/Ben Whishaw
Janis: Little Girl Blue (2015),74,Documentary/Biography/Music,103 min,Cat Power/Janis Joplin/Peter Albin/Sam Andrew
Tom Swift and His Electric Rifle (2015),70,Documentary/Drama,100 min,Rick Smith/Tom Smith
Krampus (2015),49,Comedy/Fantasy/Horror,98 min,Adam Scott/Toni Collette/David Koechner/Allison Tolman
Chi-Raq (2015),77,Comedy/Crime/Drama/Musical,127 min,Nick Cannon/Teyonah Parris/Wesley Snipes/Angela Bassett
The Letters (2014),25,Drama,114 min,Juliet Stevenson/Rutger Hauer/Max von Sydow/Priya Darshini
Macbeth (2015),71,Drama/War,113 min,Michael Fassbender/Marion Cotillard/Jack Madigan/Frank Madigan
Youth (2015),64,Comedy/Drama,124 min,Michael Caine/Harvey Keitel/Rachel Weisz/Jane Fonda
A Royal Night Out (2015),58,Comedy/Drama/Romance,97 min,Sarah Gadon/Bel Powley/Emily Watson/Rupert Everett
Kawaki (2014),55,Crime/Drama/Horror/Mystery,118 min,Kôji Yakusho/Nana Komatsu/Satoshi Tsumabuki/Hiroya Shimizu
Life (2015),59,Biography/Drama,111 min,Robert Pattinson/Dane DeHaan/Peter Lucas/Lauren Gallagher
Hitchcock/Truffaut (2015),79,Documentary,79 min,Mathieu Amalric/Wes Anderson/Peter Bogdanovich/David Fincher
Christmas Eve (2015),24,Comedy,95 min,Patrick Stewart/Jon Heder/James Roday/Cheryl Hines
Spooks: The Greater Good (2015),47,Action/Drama/Thriller,104 min,Kit Harington/Peter Firth/Jennifer Ehle/Michael Wildman
In the Heart of the Sea (2015),47,Action/Adventure/Biography/Drama/History/Thriller,122 min,Chris Hemsworth/Cillian Murphy/Brendan Gleeson/Ben Whishaw
Legend (2015),55,Biography/Crime/Drama/Romance/Thriller,132 min,Tom Hardy/Emily Browning/Taron Egerton/Paul Anderson
The Big Short (2015),81,Biography/Drama,130 min,Christian Bale/Steve Carell/Ryan Gosling/Brad Pitt
The Lady in the Van (2015),69,Biography/Comedy/Drama,104 min,Maggie Smith/Alex Jennings/Jim Broadbent/Clare Hammond
Don Verdean (2015),39,Adventure/Comedy/Drama,90 min,Sam Rockwell/Amy Ryan/Jemaine Clement/Danny McBride
O Menino e o Mundo (2013),79,Animation/Adventure/Family,80 min,Vinicius Garcia/Marco Aurélio Campos/Lu Horta/Felipe Zilse
Bleeding Heart (2015),,Drama,80 min,Jessica Biel/Zosia Mamet/Joe Anderson/Edi Gathegi
Star Wars: Episode VII - The Force Awakens (2015),81,Action/Adventure/Fantasy/Sci-Fi,135 min,Daisy Ridley/John Boyega/Oscar Isaac/Domhnall Gleeson
Sisters (2015),58,Comedy,118 min,Amy Poehler/Tina Fey/Maya Rudolph/Ike Barinholtz
Alvin and the Chipmunks: The Road Chip (2015),33,Animation/Adventure/Comedy/Family/Fantasy/Music,92 min,Jason Lee/Jesica Ahlberg/Josh Green/Tony Hale
Saul fia (2015),89,Drama/History/Thriller,107 min,Géza Röhrig/Levente Molnár/Urs Rechn/Todd Charmont
La dame dans l'auto avec des lunettes et un fusil (2015),,Thriller,93 min,Freya Mavor/Benjamin Biolay/Elio Germano/Stacy Martin
Noma My Perfect Storm (2015),47,Documentary,100 min,Rene Redzepi
Extraction (2015),25,Action/Thriller,83 min,Bruce Willis/Kellan Lutz/Gina Carano/D.B. Sweeney
Joy (2015),56,Comedy/Drama,124 min,Jennifer Lawrence/Robert De Niro/Bradley Cooper/Edgar Ramirez
Point Break (2015),34,Action/Crime/Sport/Thriller,114 min,Edgar Ramirez/Luke Bracey/Ray Winstone/Teresa Palmer
Daddy's Home (2015),42,Comedy,96 min,Will Ferrell/Mark Wahlberg/Linda Cardellini/Thomas Haden Church
Concussion (2015),55,Biography/Drama/Sport,123 min,Will Smith/Alec Baldwin/Albert Brooks/David Morse
The Big Short (2015),81,Biography/Drama,130 min,Christian Bale/Steve Carell/Ryan Gosling/Brad Pitt
The Hateful Eight (2015),68,Crime/Drama/Mystery/Thriller/Western,187 min,Samuel L. Jackson/Kurt Russell/Jennifer Jason Leigh/Walton Goggins
The Revenant (2015),76,Adventure/Drama/Thriller/Western,156 min,Leonardo DiCaprio/Tom Hardy/Will Poulter/Domhnall Gleeson
45 Years (2015),94,Drama/Romance,95 min,Charlotte Rampling/Tom Courtenay/Geraldine James/Dolly Wells
