title,scorr,genre,running time,actors
The Hunting Ground (2015),77,Documentary,103 min,Andrea Pino/Annie Clark/Claire Potter/Melinda Manning
A la mala (2015),,Comedy,99 min,Aislinn Derbez/Mauricio Ochmann/Aurora Papile/Luis Arrieta
Everly (2014),35,Action/Thriller,92 min,Salma Hayek/Hiroyuki Watanabe/Laura Cepeda/Togo Igawa
The Salvation (2014),64,Drama/Western,92 min,Mads Mikkelsen/Eva Green/Eric Cantona/Mikael Persbrandt
My Life Directed by Nicolas Winding Refn (2014),50,Documentary,58 min,Liv Corfixen/Nicolas Winding Refn/Ryan Gosling/Alejandro Jodorowsky
Chappie (2015),41,Action/Crime/Sci-Fi/Thriller,120 min,Sharlto Copley/Dev Patel/Hugh Jackman/Sigourney Weaver
The Second Best Exotic Marigold Hotel (2015),51,Comedy/Drama,122 min,Judi Dench/Maggie Smith/Bill Nighy/Dev Patel
Unfinished Business (2015),32,Comedy,91 min,Vince Vaughn/Dave Franco/Tom Wilkinson/James Marsden
Merchants of Doubt (2014),70,Documentary,96 min,Frederick Singer/Naomi Oreskes/Jamy Ian Swiss/Sam Roe
Compared to What: The Improbable Journey of Barney Frank (2014),,Documentary/Biography/Drama,87 min,Barney Frank/Spencer Bachus/Mike Barnicle/Neil Barofsky
Cinderella (2015),67,Drama/Family/Fantasy/Romance,105 min,Lily James/Cate Blanchett/Richard Madden/Helena Bonham Carter
Run All Night (2015),59,Action/Crime/Drama/Thriller,114 min,Liam Neeson/Ed Harris/Joel Kinnaman/Vincent D'Onofrio
It Follows (2014),83,Horror/Mystery/Thriller,100 min,Maika Monroe/Keir Gilchrist/Olivia Luccardi/Lili Sepe
Seymour: An Introduction (2014),83,Documentary/Biography/Music,84 min,Seymour Bernstein/Jiyang Chen/Ethan Hawke/Junko Ichikawa
The Wrecking Crew (2008),67,Documentary/Music,101 min,Brian Wilson/Dick Clark/Cher/Herb Alpert
Insurgent (2015),42,Adventure/Sci-Fi/Thriller,119 min,Shailene Woodley/Ansel Elgort/Theo James/Kate Winslet
The Gunman (2015),39,Action/Crime/Drama/Mystery/Thriller,115 min,Sean Penn/Idris Elba/Jasmine Trinca/Javier Bardem
Do You Believe? (2015),22,Drama,120 min,Mira Sorvino/Sean Astin/Alexa PenaVega/Ted McGinley
"Kumiko, the Treasure Hunter (2014)",68,Drama,105 min,Rinko Kikuchi/Nobuyuki Katsube/Shirley Venard/David Zellner
Danny Collins (2015),58,Comedy/Drama/Music,106 min,Al Pacino/Annette Bening/Jennifer Garner/Bobby Cannavale
Spring (2014),69,Horror/Romance/Sci-Fi,109 min,Lou Taylor Pucci/Nadia Hilker/Vanessa Bednar/Shane Brady
Can't Stand Losing You (2012),33,Documentary/Biography/History/Music,79 min,Sting/Andy Summers/Stewart Copeland
Get Hard (2015),34,Comedy/Crime,100 min,Will Ferrell/Kevin Hart/Alison Brie/T.I.
Home (2015),55,Animation/Adventure/Comedy/Family/Fantasy/Sci-Fi,94 min,Jim Parsons/Rihanna/Steve Martin/Jennifer Lopez
While We're Young (2014),77,Comedy/Drama,97 min,Ben Stiller/Naomi Watts/Adam Driver/Amanda Seyfried
Serena (2014),36,Drama/Romance,109 min,Bradley Cooper/Jennifer Lawrence/Rhys Ifans/Toby Jones
